Passenger Class,Survived,Status,Age,Age Group,Passenger Class & Age Group,Number of Passengers,Survival Rate
1,1,Survived,30,Adult,1st Class - Adult,1,62%
1,1,Survived,30,Adult,1st Class - Adult,1,62%
1,0,Deceased,31,Adult,1st Class - Adult,1,62%
1,0,Deceased,31,Adult,1st Class - Adult,1,62%
1,1,Survived,31,Adult,1st Class - Adult,1,62%
1,1,Survived,31,Adult,1st Class - Adult,1,62%
1,1,Survived,31,Adult,1st Class - Adult,1,62%
1,1,Survived,31,Adult,1st Class - Adult,1,62%
1,1,Survived,31,Adult,1st Class - Adult,1,62%
1,1,Survived,32,Adult,1st Class - Adult,1,62%
1,1,Survived,32,Adult,1st Class - Adult,1,62%
1,0,Deceased,32.5,Adult,1st Class - Adult,1,62%
1,0,Deceased,33,Adult,1st Class - Adult,1,62%
1,0,Deceased,33,Adult,1st Class - Adult,1,62%
1,1,Survived,33,Adult,1st Class - Adult,1,62%
1,1,Survived,33,Adult,1st Class - Adult,1,62%
1,1,Survived,33,Adult,1st Class - Adult,1,62%
1,1,Survived,33,Adult,1st Class - Adult,1,62%
1,1,Survived,33,Adult,1st Class - Adult,1,62%
1,1,Survived,34,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,1,Survived,35,Adult,1st Class - Adult,1,62%
1,0,Deceased,36,Adult,1st Class - Adult,1,62%
1,0,Deceased,36,Adult,1st Class - Adult,1,62%
1,0,Deceased,36,Adult,1st Class - Adult,1,62%
1,0,Deceased,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,1,Survived,36,Adult,1st Class - Adult,1,62%
1,0,Deceased,37,Adult,1st Class - Adult,1,62%
1,0,Deceased,37,Adult,1st Class - Adult,1,62%
1,0,Deceased,37,Adult,1st Class - Adult,1,62%
1,1,Survived,37,Adult,1st Class - Adult,1,62%
1,1,Survived,37,Adult,1st Class - Adult,1,62%
1,0,Deceased,38,Adult,1st Class - Adult,1,62%
1,0,Deceased,38,Adult,1st Class - Adult,1,62%
1,1,Survived,38,Adult,1st Class - Adult,1,62%
1,1,Survived,38,Adult,1st Class - Adult,1,62%
1,1,Survived,38,Adult,1st Class - Adult,1,62%
1,1,Survived,38,Adult,1st Class - Adult,1,62%
1,0,Deceased,39,Adult,1st Class - Adult,1,62%
1,0,Deceased,39,Adult,1st Class - Adult,1,62%
1,0,Deceased,39,Adult,1st Class - Adult,1,62%
1,1,Survived,39,Adult,1st Class - Adult,1,62%
1,1,Survived,39,Adult,1st Class - Adult,1,62%
1,1,Survived,39,Adult,1st Class - Adult,1,62%
1,1,Survived,39,Adult,1st Class - Adult,1,62%
1,1,Survived,39,Adult,1st Class - Adult,1,62%
1,1,Survived,39,Adult,1st Class - Adult,1,62%
1,0,Deceased,40,Adult,1st Class - Adult,1,62%
1,0,Deceased,40,Adult,1st Class - Adult,1,62%
1,1,Survived,40,Adult,1st Class - Adult,1,62%
1,1,Survived,40,Adult,1st Class - Adult,1,62%
1,1,Survived,40,Adult,1st Class - Adult,1,62%
1,0,Deceased,41,Adult,1st Class - Adult,1,62%
1,0,Deceased,41,Adult,1st Class - Adult,1,62%
1,1,Survived,41,Adult,1st Class - Adult,1,62%
1,0,Deceased,42,Adult,1st Class - Adult,1,62%
1,0,Deceased,42,Adult,1st Class - Adult,1,62%
1,0,Deceased,42,Adult,1st Class - Adult,1,62%
1,0,Deceased,42,Adult,1st Class - Adult,1,62%
1,1,Survived,42,Adult,1st Class - Adult,1,62%
1,1,Survived,42,Adult,1st Class - Adult,1,62%
1,1,Survived,42,Adult,1st Class - Adult,1,62%
1,1,Survived,43,Adult,1st Class - Adult,1,62%
1,1,Survived,43,Adult,1st Class - Adult,1,62%
1,1,Survived,43,Adult,1st Class - Adult,1,62%
1,0,Deceased,44,Adult,1st Class - Adult,1,62%
1,1,Survived,44,Adult,1st Class - Adult,1,62%
1,1,Survived,44,Adult,1st Class - Adult,1,62%
1,0,Deceased,45,Adult,1st Class - Adult,1,62%
1,0,Deceased,45,Adult,1st Class - Adult,1,62%
1,0,Deceased,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,1,Survived,45,Adult,1st Class - Adult,1,62%
1,0,Deceased,45.5,Adult,1st Class - Adult,1,62%
1,0,Deceased,46,Adult,1st Class - Adult,1,62%
1,0,Deceased,46,Adult,1st Class - Adult,1,62%
1,0,Deceased,46,Adult,1st Class - Adult,1,62%
1,0,Deceased,46,Adult,1st Class - Adult,1,62%
1,0,Deceased,46,Adult,1st Class - Adult,1,62%
1,0,Deceased,47,Adult,1st Class - Adult,1,62%
1,0,Deceased,47,Adult,1st Class - Adult,1,62%
1,0,Deceased,47,Adult,1st Class - Adult,1,62%
1,0,Deceased,47,Adult,1st Class - Adult,1,62%
1,0,Deceased,47,Adult,1st Class - Adult,1,62%
1,0,Deceased,47,Adult,1st Class - Adult,1,62%
1,1,Survived,47,Adult,1st Class - Adult,1,62%
1,1,Survived,47,Adult,1st Class - Adult,1,62%
1,0,Deceased,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,1,Survived,48,Adult,1st Class - Adult,1,62%
1,0,Deceased,49,Adult,1st Class - Adult,1,62%
1,0,Deceased,49,Adult,1st Class - Adult,1,62%
1,1,Survived,49,Adult,1st Class - Adult,1,62%
1,1,Survived,49,Adult,1st Class - Adult,1,62%
1,1,Survived,49,Adult,1st Class - Adult,1,62%
1,1,Survived,49,Adult,1st Class - Adult,1,62%
1,1,Survived,49,Adult,1st Class - Adult,1,62%
1,0,Deceased,50,Adult,1st Class - Adult,1,62%
1,0,Deceased,50,Adult,1st Class - Adult,1,62%
1,0,Deceased,50,Adult,1st Class - Adult,1,62%
1,0,Deceased,50,Adult,1st Class - Adult,1,62%
1,0,Deceased,50,Adult,1st Class - Adult,1,62%
1,1,Survived,50,Adult,1st Class - Adult,1,62%
1,1,Survived,50,Adult,1st Class - Adult,1,62%
1,1,Survived,50,Adult,1st Class - Adult,1,62%
1,0,Deceased,51,Adult,1st Class - Adult,1,62%
1,1,Survived,51,Adult,1st Class - Adult,1,62%
1,1,Survived,51,Adult,1st Class - Adult,1,62%
1,1,Survived,51,Adult,1st Class - Adult,1,62%
1,0,Deceased,52,Adult,1st Class - Adult,1,62%
1,1,Survived,52,Adult,1st Class - Adult,1,62%
1,1,Survived,52,Adult,1st Class - Adult,1,62%
1,1,Survived,52,Adult,1st Class - Adult,1,62%
1,1,Survived,53,Adult,1st Class - Adult,1,62%
1,1,Survived,53,Adult,1st Class - Adult,1,62%
1,1,Survived,53,Adult,1st Class - Adult,1,62%
1,1,Survived,53,Adult,1st Class - Adult,1,62%
1,0,Deceased,54,Adult,1st Class - Adult,1,62%
1,0,Deceased,54,Adult,1st Class - Adult,1,62%
1,1,Survived,54,Adult,1st Class - Adult,1,62%
1,1,Survived,54,Adult,1st Class - Adult,1,62%
1,1,Survived,54,Adult,1st Class - Adult,1,62%
1,1,Survived,54,Adult,1st Class - Adult,1,62%
1,0,Deceased,55,Adult,1st Class - Adult,1,62%
1,0,Deceased,55,Adult,1st Class - Adult,1,62%
1,0,Deceased,55,Adult,1st Class - Adult,1,62%
1,0,Deceased,55,Adult,1st Class - Adult,1,62%
1,1,Survived,55,Adult,1st Class - Adult,1,62%
1,1,Survived,55,Adult,1st Class - Adult,1,62%
1,1,Survived,55,Adult,1st Class - Adult,1,62%
1,0,Deceased,56,Adult,1st Class - Adult,1,62%
1,0,Deceased,56,Adult,1st Class - Adult,1,62%
1,1,Survived,56,Adult,1st Class - Adult,1,62%
1,1,Survived,56,Adult,1st Class - Adult,1,62%
1,0,Deceased,57,Adult,1st Class - Adult,1,62%
1,0,Deceased,57,Adult,1st Class - Adult,1,62%
1,0,Deceased,58,Adult,1st Class - Adult,1,62%
1,0,Deceased,58,Adult,1st Class - Adult,1,62%
1,1,Survived,58,Adult,1st Class - Adult,1,62%
1,1,Survived,58,Adult,1st Class - Adult,1,62%
1,1,Survived,58,Adult,1st Class - Adult,1,62%
1,1,Survived,58,Adult,1st Class - Adult,1,62%
1,1,Survived,59,Adult,1st Class - Adult,1,62%
1,0,Deceased,60,Adult,1st Class - Adult,1,62%
1,1,Survived,60,Adult,1st Class - Adult,1,62%
1,1,Survived,60,Adult,1st Class - Adult,1,62%
1,1,Survived,60,Adult,1st Class - Adult,1,62%
1,1,Survived,60,Adult,1st Class - Adult,1,62%
1,0,Deceased,61,Adult,1st Class - Adult,1,62%
1,0,Deceased,61,Adult,1st Class - Adult,1,62%
1,0,Deceased,61,Adult,1st Class - Adult,1,62%
1,0,Deceased,62,Adult,1st Class - Adult,1,62%
1,0,Deceased,62,Adult,1st Class - Adult,1,62%
1,1,Survived,62,Adult,1st Class - Adult,1,62%
1,0,Deceased,63,Adult,1st Class - Adult,1,62%
1,1,Survived,63,Adult,1st Class - Adult,1,62%
1,0,Deceased,64,Adult,1st Class - Adult,1,62%
1,0,Deceased,64,Adult,1st Class - Adult,1,62%
1,0,Deceased,64,Adult,1st Class - Adult,1,62%
1,1,Survived,64,Adult,1st Class - Adult,1,62%
1,1,Survived,64,Adult,1st Class - Adult,1,62%
1,0,Deceased,65,Adult,1st Class - Adult,1,62%
1,0,Deceased,65,Adult,1st Class - Adult,1,62%
1,0,Deceased,67,Adult,1st Class - Adult,1,62%
1,0,Deceased,70,Adult,1st Class - Adult,1,62%
1,0,Deceased,71,Adult,1st Class - Adult,1,62%
1,0,Deceased,71,Adult,1st Class - Adult,1,62%
1,1,Survived,76,Adult,1st Class - Adult,1,62%
1,1,Survived,80,Adult,1st Class - Adult,1,62%
1,1,Survived,0.92,Child,1st Class - Child,1,87%
1,0,Deceased,2,Child,1st Class - Child,1,87%
1,1,Survived,4,Child,1st Class - Child,1,87%
1,1,Survived,6,Child,1st Class - Child,1,87%
1,1,Survived,11,Child,1st Class - Child,1,87%
1,1,Survived,13,Child,1st Class - Child,1,87%
1,1,Survived,14,Child,1st Class - Child,1,87%
1,1,Survived,15,Child,1st Class - Child,1,87%
1,1,Survived,16,Child,1st Class - Child,1,87%
1,1,Survived,16,Child,1st Class - Child,1,87%
1,1,Survived,16,Child,1st Class - Child,1,87%
1,0,Deceased,17,Child,1st Class - Child,1,87%
1,1,Survived,17,Child,1st Class - Child,1,87%
1,1,Survived,17,Child,1st Class - Child,1,87%
1,1,Survived,17,Child,1st Class - Child,1,87%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18,Adult,2nd Class - Adult,1,38%
2,1,Survived,18,Adult,2nd Class - Adult,1,38%
2,1,Survived,18,Adult,2nd Class - Adult,1,38%
2,0,Deceased,18.5,Adult,2nd Class - Adult,1,38%
2,0,Deceased,19,Adult,2nd Class - Adult,1,38%
2,0,Deceased,19,Adult,2nd Class - Adult,1,38%
2,0,Deceased,19,Adult,2nd Class - Adult,1,38%
2,0,Deceased,19,Adult,2nd Class - Adult,1,38%
2,1,Survived,19,Adult,2nd Class - Adult,1,38%
2,1,Survived,19,Adult,2nd Class - Adult,1,38%
2,1,Survived,19,Adult,2nd Class - Adult,1,38%
2,1,Survived,19,Adult,2nd Class - Adult,1,38%
2,1,Survived,20,Adult,2nd Class - Adult,1,38%
2,1,Survived,20,Adult,2nd Class - Adult,1,38%
2,1,Survived,20,Adult,2nd Class - Adult,1,38%
2,1,Survived,20,Adult,2nd Class - Adult,1,38%
2,0,Deceased,21,Adult,2nd Class - Adult,1,38%
2,0,Deceased,21,Adult,2nd Class - Adult,1,38%
2,0,Deceased,21,Adult,2nd Class - Adult,1,38%
2,0,Deceased,21,Adult,2nd Class - Adult,1,38%
2,0,Deceased,21,Adult,2nd Class - Adult,1,38%
2,0,Deceased,21,Adult,2nd Class - Adult,1,38%
2,1,Survived,21,Adult,2nd Class - Adult,1,38%
2,1,Survived,21,Adult,2nd Class - Adult,1,38%
2,0,Deceased,22,Adult,2nd Class - Adult,1,38%
2,0,Deceased,22,Adult,2nd Class - Adult,1,38%
2,1,Survived,22,Adult,2nd Class - Adult,1,38%
2,1,Survived,22,Adult,2nd Class - Adult,1,38%
2,1,Survived,22,Adult,2nd Class - Adult,1,38%
2,1,Survived,22,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,23,Adult,2nd Class - Adult,1,38%
2,1,Survived,23,Adult,2nd Class - Adult,1,38%
2,0,Deceased,24,Adult,2nd Class - Adult,1,38%
2,0,Deceased,24,Adult,2nd Class - Adult,1,38%
2,0,Deceased,24,Adult,2nd Class - Adult,1,38%
2,0,Deceased,24,Adult,2nd Class - Adult,1,38%
2,0,Deceased,24,Adult,2nd Class - Adult,1,38%
2,0,Deceased,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,1,Survived,24,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,25,Adult,2nd Class - Adult,1,38%
2,1,Survived,25,Adult,2nd Class - Adult,1,38%
2,1,Survived,25,Adult,2nd Class - Adult,1,38%
2,0,Deceased,26,Adult,2nd Class - Adult,1,38%
2,0,Deceased,26,Adult,2nd Class - Adult,1,38%
2,0,Deceased,26,Adult,2nd Class - Adult,1,38%
2,0,Deceased,26,Adult,2nd Class - Adult,1,38%
2,0,Deceased,26,Adult,2nd Class - Adult,1,38%
2,1,Survived,26,Adult,2nd Class - Adult,1,38%
2,1,Survived,26,Adult,2nd Class - Adult,1,38%
2,0,Deceased,27,Adult,2nd Class - Adult,1,38%
2,0,Deceased,27,Adult,2nd Class - Adult,1,38%
2,0,Deceased,27,Adult,2nd Class - Adult,1,38%
2,0,Deceased,27,Adult,2nd Class - Adult,1,38%
2,0,Deceased,27,Adult,2nd Class - Adult,1,38%
2,0,Deceased,27,Adult,2nd Class - Adult,1,38%
2,1,Survived,27,Adult,2nd Class - Adult,1,38%
2,1,Survived,27,Adult,2nd Class - Adult,1,38%
2,0,Deceased,28,Adult,2nd Class - Adult,1,38%
2,0,Deceased,28,Adult,2nd Class - Adult,1,38%
2,0,Deceased,28,Adult,2nd Class - Adult,1,38%
2,0,Deceased,28,Adult,2nd Class - Adult,1,38%
2,0,Deceased,28,Adult,2nd Class - Adult,1,38%
2,0,Deceased,28,Adult,2nd Class - Adult,1,38%
2,1,Survived,28,Adult,2nd Class - Adult,1,38%
2,1,Survived,28,Adult,2nd Class - Adult,1,38%
2,1,Survived,28,Adult,2nd Class - Adult,1,38%
2,1,Survived,28,Adult,2nd Class - Adult,1,38%
2,1,Survived,28,Adult,2nd Class - Adult,1,38%
2,0,Deceased,29,Adult,2nd Class - Adult,1,38%
2,0,Deceased,29,Adult,2nd Class - Adult,1,38%
2,0,Deceased,29,Adult,2nd Class - Adult,1,38%
2,0,Deceased,29,Adult,2nd Class - Adult,1,38%
2,0,Deceased,29,Adult,2nd Class - Adult,1,38%
2,1,Survived,29,Adult,2nd Class - Adult,1,38%
2,1,Survived,29,Adult,2nd Class - Adult,1,38%
2,1,Survived,29,Adult,2nd Class - Adult,1,38%
2,1,Survived,29,Adult,2nd Class - Adult,1,38%
2,1,Survived,29,Adult,2nd Class - Adult,1,38%
2,1,Survived,29,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,30,Adult,2nd Class - Adult,1,38%
2,1,Survived,30,Adult,2nd Class - Adult,1,38%
2,1,Survived,30,Adult,2nd Class - Adult,1,38%
2,1,Survived,30,Adult,2nd Class - Adult,1,38%
2,1,Survived,30,Adult,2nd Class - Adult,1,38%
2,1,Survived,30,Adult,2nd Class - Adult,1,38%
2,0,Deceased,31,Adult,2nd Class - Adult,1,38%
2,0,Deceased,31,Adult,2nd Class - Adult,1,38%
2,0,Deceased,31,Adult,2nd Class - Adult,1,38%
2,1,Survived,31,Adult,2nd Class - Adult,1,38%
2,1,Survived,31,Adult,2nd Class - Adult,1,38%
2,1,Survived,31,Adult,2nd Class - Adult,1,38%
2,1,Survived,31,Adult,2nd Class - Adult,1,38%
2,0,Deceased,32,Adult,2nd Class - Adult,1,38%
2,0,Deceased,32,Adult,2nd Class - Adult,1,38%
2,0,Deceased,32,Adult,2nd Class - Adult,1,38%
2,0,Deceased,32,Adult,2nd Class - Adult,1,38%
2,1,Survived,32,Adult,2nd Class - Adult,1,38%
2,1,Survived,32,Adult,2nd Class - Adult,1,38%
2,0,Deceased,32.5,Adult,2nd Class - Adult,1,38%
2,1,Survived,32.5,Adult,2nd Class - Adult,1,38%
2,0,Deceased,33,Adult,2nd Class - Adult,1,38%
2,1,Survived,33,Adult,2nd Class - Adult,1,38%
2,1,Survived,33,Adult,2nd Class - Adult,1,38%
2,0,Deceased,34,Adult,2nd Class - Adult,1,38%
2,0,Deceased,34,Adult,2nd Class - Adult,1,38%
2,0,Deceased,34,Adult,2nd Class - Adult,1,38%
2,0,Deceased,34,Adult,2nd Class - Adult,1,38%
2,0,Deceased,34,Adult,2nd Class - Adult,1,38%
2,0,Deceased,34,Adult,2nd Class - Adult,1,38%
2,1,Survived,34,Adult,2nd Class - Adult,1,38%
2,1,Survived,34,Adult,2nd Class - Adult,1,38%
2,1,Survived,34,Adult,2nd Class - Adult,1,38%
2,1,Survived,34,Adult,2nd Class - Adult,1,38%
2,1,Survived,34,Adult,2nd Class - Adult,1,38%
2,0,Deceased,35,Adult,2nd Class - Adult,1,38%
2,0,Deceased,35,Adult,2nd Class - Adult,1,38%
2,0,Deceased,35,Adult,2nd Class - Adult,1,38%
2,1,Survived,35,Adult,2nd Class - Adult,1,38%
2,0,Deceased,36,Adult,2nd Class - Adult,1,38%
2,0,Deceased,36,Adult,2nd Class - Adult,1,38%
2,0,Deceased,36,Adult,2nd Class - Adult,1,38%
2,0,Deceased,36,Adult,2nd Class - Adult,1,38%
2,0,Deceased,36,Adult,2nd Class - Adult,1,38%
2,1,Survived,36,Adult,2nd Class - Adult,1,38%
2,1,Survived,36,Adult,2nd Class - Adult,1,38%
2,1,Survived,36,Adult,2nd Class - Adult,1,38%
2,1,Survived,36,Adult,2nd Class - Adult,1,38%
2,0,Deceased,36.5,Adult,2nd Class - Adult,1,38%
2,0,Deceased,37,Adult,2nd Class - Adult,1,38%
2,0,Deceased,38,Adult,2nd Class - Adult,1,38%
2,0,Deceased,38,Adult,2nd Class - Adult,1,38%
2,0,Deceased,39,Adult,2nd Class - Adult,1,38%
2,0,Deceased,39,Adult,2nd Class - Adult,1,38%
2,0,Deceased,39,Adult,2nd Class - Adult,1,38%
2,0,Deceased,40,Adult,2nd Class - Adult,1,38%
2,0,Deceased,40,Adult,2nd Class - Adult,1,38%
2,0,Deceased,40,Adult,2nd Class - Adult,1,38%
2,1,Survived,40,Adult,2nd Class - Adult,1,38%
2,1,Survived,40,Adult,2nd Class - Adult,1,38%
2,1,Survived,40,Adult,2nd Class - Adult,1,38%
2,0,Deceased,41,Adult,2nd Class - Adult,1,38%
2,0,Deceased,41,Adult,2nd Class - Adult,1,38%
2,1,Survived,41,Adult,2nd Class - Adult,1,38%
2,0,Deceased,42,Adult,2nd Class - Adult,1,38%
2,0,Deceased,42,Adult,2nd Class - Adult,1,38%
2,0,Deceased,42,Adult,2nd Class - Adult,1,38%
2,0,Deceased,42,Adult,2nd Class - Adult,1,38%
2,1,Survived,42,Adult,2nd Class - Adult,1,38%
2,1,Survived,42,Adult,2nd Class - Adult,1,38%
2,1,Survived,42,Adult,2nd Class - Adult,1,38%
2,0,Deceased,43,Adult,2nd Class - Adult,1,38%
2,0,Deceased,43,Adult,2nd Class - Adult,1,38%
2,0,Deceased,44,Adult,2nd Class - Adult,1,38%
2,0,Deceased,44,Adult,2nd Class - Adult,1,38%
2,0,Deceased,44,Adult,2nd Class - Adult,1,38%
2,1,Survived,45,Adult,2nd Class - Adult,1,38%
2,1,Survived,45,Adult,2nd Class - Adult,1,38%
2,1,Survived,45,Adult,2nd Class - Adult,1,38%
2,0,Deceased,46,Adult,2nd Class - Adult,1,38%
2,0,Deceased,47,Adult,2nd Class - Adult,1,38%
2,0,Deceased,47,Adult,2nd Class - Adult,1,38%
2,0,Deceased,48,Adult,2nd Class - Adult,1,38%
